Component,Message Purpose,Service ID,Function Id,Opcode,,,
cmb_sensorfi_ , GyroOffsetStatus ,11,19,6,,,
cmb_sensorfi_ , GyroOffsetUpReg ,11,19,3,,,
cmb_sensorfi_ , GyroScalefactorGet ,11,20,1,,,
cmb_sensorfi_ , GyroScalefactorRelUpReg ,11,20,4,,,
cmb_sensorfi_ , GyroScalefactorSet ,11,20,0,,,
cmb_sensorfi_ , GyroScalefactorStatus ,11,20,6,,,
cmb_sensorfi_ , GyroScalefactorUpReg ,11,20,3,,,
cmb_sensorfi_ , GyroSelftestMethodResult ,11,32,7,,,
cmb_sensorfi_ , GyroSelftestMethodStart ,11,32,2,,,
cmb_sensorfi_ , GyroTemperatureGet ,11,68,1,,,
cmb_sensorfi_ , GyroTemperatureRelUpReg ,11,68,4,,,
cmb_sensorfi_ , GyroTemperatureStatus ,11,68,6,,,
cmb_sensorfi_ , GyroTemperatureUpReg ,11,68,3,,,
cmb_sensorfi_ , GyroTypeGet ,11,17,1,,,
cmb_sensorfi_ , GyroTypeSet ,11,17,0,,,
cmb_sensorfi_ , GyroTypeStatus ,11,17,6,,,
cmb_sensorfi_ , OdometerData_InitGet ,11,1,1,,,
cmb_sensorfi_ , OdometerData_InitStatus ,11,1,6,,,
cmb_sensorfi_ , OdometerData_UpdateGet ,11,2,1,,,
cmb_sensorfi_ , OdometerData_UpdateRelUpReg ,11,2,4,,,
cmb_sensorfi_ , OdometerData_UpdateStatus ,11,2,6,,,
cmb_sensorfi_ , OdometerData_UpdateUpReg ,11,2,3,,,
cmb_sensorfi_ , OdometerRangeGet ,11,50,1,,,
cmb_sensorfi_ , OdometerRangeSet ,11,50,0,,,
cmb_sensorfi_ , OdometerRangeStatus ,11,50,6,,,
cmb_sensorfi_ , OdometerUsageGet ,11,34,1,,,
cmb_sensorfi_ , OdometerUsageRelUpReg ,11,34,4,,,
cmb_sensorfi_ , OdometerUsageSet ,11,34,0,,,
cmb_sensorfi_ , OdometerUsageStatus ,11,34,6,,,
cmb_sensorfi_ , OdometerUsageUpReg ,11,34,3,,,
cmb_sensorfi_ , OsalTimeEventGet ,11,33,1,,,
cmb_sensorfi_ , OsalTimeEventRelUpReg ,11,33,4,,,
cmb_sensorfi_ , OsalTimeEventStatus ,11,33,6,,,
cmb_sensorfi_ , OsalTimeEventUpReg ,11,33,3,,,
cmb_sensorfi_ , PulsesPerTyreCircumferenceGet ,11,12,1,,,
cmb_sensorfi_ , PulsesPerTyreCircumferenceSet ,11,12,0,,,
cmb_sensorfi_ , PulsesPerTyreCircumferenceStatus ,11,12,6,,,
cmb_sensorfi_ , RimDiameterGet ,11,9,1,,,
cmb_sensorfi_ , RimDiameterSet ,11,9,0,,,
cmb_sensorfi_ , RimDiameterStatus ,11,9,6,,,
cmb_sensorfi_ , SavePersistentMethodResult ,11,37,7,,,
cmb_sensorfi_ , SavePersistentMethodStart ,11,37,2,,,
cmb_sensorfi_ , SetDefaultGyroParameterForGyroTypeMethodResult ,11,21,7,,,
cmb_sensorfi_ , SetDefaultGyroParameterForGyroTypeMethodStart ,11,21,2,,,
cmb_sensorfi_ , SteeringDataGet ,11,49,1,,,
cmb_sensorfi_ , SteeringDataRelUpReg ,11,49,4,,,
cmb_sensorfi_ , SteeringDataStatus ,11,49,6,,,
cmb_sensorfi_ , SteeringDataUpReg ,11,49,3,,,
cmb_sensorfi_ , TimeModeGet ,11,71,1,,,
cmb_sensorfi_ , TimeModeSet ,11,71,0,,,
cmb_sensorfi_ , TimeModeStatus ,11,71,6,,,
cmb_sensorfi_ , TyreCircumferenceGet ,11,11,1,,,
cmb_sensorfi_ , TyreCircumferenceSet ,11,11,0,,,
cmb_sensorfi_ , TyreCircumferenceStatus ,11,11,6,,,
cmb_sensorfi_ , TyreConditionGet ,11,10,1,,,
cmb_sensorfi_ , TyreConditionSet ,11,10,0,,,
cmb_sensorfi_ , TyreConditionStatus ,11,10,6,,,
cmb_sensorfi_ , TyreExpansionValueGet ,11,15,1,,,
cmb_sensorfi_ , TyreExpansionValueSet ,11,15,0,,,
cmb_sensorfi_ , TyreExpansionValueStatus ,11,15,6,,,
cmb_sensorfi_ , TyreHeightWidthRatioGet ,11,8,1,,,
cmb_sensorfi_ , TyreHeightWidthRatioSet ,11,8,0,,,
cmb_sensorfi_ , TyreHeightWidthRatioStatus ,11,8,6,,,
cmb_sensorfi_ , TyreWidthGet ,11,7,1,,,
cmb_sensorfi_ , TyreWidthSet ,11,7,0,,,
cmb_sensorfi_ , TyreWidthStatus ,11,7,6,,,
cmb_sensorfi_ , UpdateDiagLogMethodResult ,11,47,7,,,
cmb_sensorfi_ , UpdateDiagLogMethodStart ,11,47,2,,,
cmb_sensorfi_ , UpdateFactorySettingsMethodResult ,11,58,7,,,
cmb_sensorfi_ , UpdateFactorySettingsMethodStart ,11,58,2,,,
cmb_sensorfi_ , XoCompensationGet ,11,26,1,,,
cmb_sensorfi_ , XoCompensationSet ,11,26,0,,,
cmb_sensorfi_ , XoCompensationStatus ,11,26,6,,,
dap_devmanfi_ , CopyFilesMethodResult ,9,21,7,,,
dap_devmanfi_ , CopyFilesMethodStart ,9,21,2,,,
dap_devmanfi_ , CreateDirectoryMethodResult ,9,20,7,,,
dap_devmanfi_ , CreateDirectoryMethodStart ,9,20,2,,,
dap_devmanfi_ , DataTypeInfoRelUpReg ,9,130,4,,,
dap_devmanfi_ , DataTypeInfoStatus ,9,130,6,,,
dap_devmanfi_ , DataVisibilityRelUpReg ,9,139,4,,,
dap_devmanfi_ , DataVisibilitySet ,9,139,0,,,
dap_devmanfi_ , DataVisibilityStatus ,9,139,6,,,
dap_devmanfi_ , DataVisibilityUpReg ,9,139,3,,,
dap_devmanfi_ , DefaultDataInfoRelUpReg ,9,134,4,,,
dap_devmanfi_ , DefaultDataInfoStatus ,9,134,6,,,
dap_devmanfi_ , DefaultDataInfoUpReg ,9,134,3,,,
dap_devmanfi_ , DefaultDeviceSet ,9,135,0,,,
dap_devmanfi_ , DefaultDeviceStatus ,9,135,6,,,
dap_devmanfi_ , DeviceStatusInfoRelUpReg ,9,132,4,,,
dap_devmanfi_ , DeviceStatusInfoStatus ,9,132,6,,,
dap_devmanfi_ , DeviceStatusInfoUpReg ,9,132,3,,,
dap_devmanfi_ , GetDirectoryMethodResult ,35,1282,7,,,
dap_devmanfi_ , GetDirectoryMethodStart ,35,1282,2,,,
dap_devmanfi_ , GetDiscSpaceMethodResult ,9,8,7,,,
dap_devmanfi_ , GetDiscSpaceMethodStart ,9,8,2,,,
dap_devmanfi_ , GetFileSizeMethodResult ,9,5,7,,,
dap_devmanfi_ , GetFileSizeMethodStart ,9,5,2,,,
dap_devmanfi_ , GetFreeDiskSpaceMethodResult ,9,9,7,,,
dap_devmanfi_ , GetFreeDiskSpaceMethodStart ,9,9,2,,,
dap_devmanfi_ , MediaInfoRelUpReg ,9,131,4,,,
dap_devmanfi_ , MediaInfoStatus ,9,131,6,,,
dap_devmanfi_ , MediaInfoUpReg ,9,131,3,,,
dap_devmanfi_ , PRMNotificationStatus ,9,133,6,,,
dap_devmanfi_ , ReadDataBlocksMethodResult ,9,3,7,,,
dap_devmanfi_ , ReadDataBlocksMethodStart ,9,3,2,,,
dap_devmanfi_ , RegionDescriptionsRelUpReg ,9,136,4,,,
dap_devmanfi_ , RegionDescriptionsStatus ,9,136,6,,,
dap_devmanfi_ , RegionDescriptionsUpReg ,9,136,3,,,
dap_devmanfi_ , RegionMetaDataRelUpReg ,9,137,4,,,
dap_devmanfi_ , RegionMetaDataStatus ,9,137,6,,,
dap_devmanfi_ , RegionMetaDataUpReg ,9,137,3,,,
dap_devmanfi_ , RemoveDirectoryMethodResult ,9,25,7,,,
dap_devmanfi_ , RemoveDirectoryMethodStart ,9,25,2,,,
dap_devmanfi_ , RemoveFilesMethodResult ,9,24,7,,,
dap_devmanfi_ , RemoveFilesMethodStart ,9,24,2,,,
dap_devmanfi_ , RenameMethodResult ,9,23,7,,,
dap_devmanfi_ , RenameMethodStart ,9,23,2,,,
dap_devmanfi_ , TimerProcessedMethodResult ,9,170,7,,,
dap_devmanfi_ , TimerProcessedMethodStart ,9,170,2,,,
dap_devmanfi_ , WriteToFileMethodResult ,9,22,7,,,
dap_devmanfi_ , WriteToFileMethodStart ,9,22,2,,,
dap_lifi_ , CloseContextMethodResult ,8,2049,7,,,
dap_lifi_ , CloseContextMethodStart ,8,2049,2,,,
dap_lifi_ , CurrentSearchProgressStatus ,8,2064,6,,,
dap_lifi_ , GetASFCharactersMethodResult ,8,2053,7,,,
dap_lifi_ , GetASFCharactersMethodStart ,8,2053,2,,,
dap_lifi_ , GetDataSetsMethodResult ,8,2060,7,,,
dap_lifi_ , GetDataSetsMethodStart ,8,2060,2,,,
dap_lifi_ , GetElementNumberMethodResult ,8,2052,7,,,
dap_lifi_ , GetElementNumberMethodStart ,8,2052,2,,,
dap_lifi_ , GetEntryListMethodResult ,8,2054,7,,,
dap_lifi_ , GetEntryListMethodResultFirst ,8,2054,10,,,
dap_lifi_ , GetEntryListMethodResultLast ,8,2054,12,,,
dap_lifi_ , GetEntryListMethodResultMiddle ,8,2054,11,,,
dap_lifi_ , GetEntryListMethodStart ,8,2054,2,,,
dap_lifi_ , GetObjectDescriptionMethodResult ,8,2051,7,,,
dap_lifi_ , GetObjectDescriptionMethodStart ,8,2051,2,,,
dap_lifi_ , GetObjectDetailMethodResult ,8,2056,7,,,
dap_lifi_ , GetObjectDetailMethodStart ,8,2056,2,,,
dap_lifi_ , GetObjectsMethodResult ,8,2050,7,,,
dap_lifi_ , GetObjectsMethodStart ,8,2050,2,,,
dap_lifi_ , ReadBinaryDestinationMethodResult ,8,2055,7,,,
dap_lifi_ , ReadBinaryDestinationMethodStart ,8,2055,2,,,
dap_lifi_ , ReadLanguagesMethodResult ,8,2058,7,,,
dap_lifi_ , ReadLanguagesMethodStart ,8,2058,2,,,
dap_lifi_ , ResolveLocationDescriptionMethodResult ,8,2057,7,,,
dap_lifi_ , ResolveLocationDescriptionMethodStart ,8,2057,2,,,
dap_lifi_ , SetCurrentLanguageMethodResult ,8,2059,7,,,
dap_lifi_ , SetCurrentLanguageMethodStart ,8,2059,2,,,
dap_poifi_ , AddPOIsMethodResult ,86,32,7,,,
dap_poifi_ , AddPOIsMethodStart ,86,32,2,,,
dap_poifi_ , AvailablePOITypesGet ,86,48,1,,,
dap_poifi_ , AvailablePOITypesRelUpReg ,86,48,4,,,
dap_poifi_ , AvailablePOITypesStatus ,86,48,6,,,
dap_poifi_ , AvailablePOITypesUpReg ,86,48,3,,,
dap_poifi_ , CloseFastMapChannelMethodResult ,38,258,7,,,
dap_poifi_ , CloseFastMapChannelMethodStart ,38,258,2,,,
dap_poifi_ , CurrentUPOIDataSetIdGet ,86,168,1,,,
dap_poifi_ , CurrentUPOIDataSetIdRelUpReg ,86,168,4,,,
dap_poifi_ , CurrentUPOIDataSetIdStatus ,86,168,6,,,
dap_poifi_ , CurrentUPOIDataSetIdUpReg ,86,168,3,,,
dap_poifi_ , DeleteAllPOIsMethodResult ,86,34,7,,,
dap_poifi_ , DeleteAllPOIsMethodStart ,86,34,2,,,
dap_poifi_ , DeleteCategoryMethodResult ,86,161,7,,,
dap_poifi_ , DeleteCategoryMethodStart ,86,161,2,,,
dap_poifi_ , DeletePOIsMethodResult ,86,33,7,,,
dap_poifi_ , DeletePOIsMethodStart ,86,33,2,,,
dap_poifi_ , ExportUPOIsMethodAbort ,86,130,5,,,
dap_poifi_ , ExportUPOIsMethodResult ,86,130,7,,,
dap_poifi_ , ExportUPOIsMethodStart ,86,130,2,,,
dap_poifi_ , GetMapIdsMethodResult ,86,144,7,,,
dap_poifi_ , GetMapIdsMethodStart ,86,144,2,,,
dap_poifi_ , GetPOIDataByOutlineMethodResult ,86,1,7,,,
dap_poifi_ , GetPOIDataByOutlineMethodResultFirst ,86,1,10,,,
dap_poifi_ , GetPOIDataByOutlineMethodResultLast ,86,1,12,,,
dap_poifi_ , GetPOIDataByOutlineMethodResultMiddle ,86,1,11,,,
dap_poifi_ , GetPOIDataByOutlineMethodStart ,86,1,2,,,
dap_poifi_ , GetPOIDataByTileIDsMethodResult ,86,2,7,,,
dap_poifi_ , GetPOIDataByTileIDsMethodResultFirst ,86,2,10,,,
dap_poifi_ , GetPOIDataByTileIDsMethodResultLast ,86,2,12,,,
dap_poifi_ , GetPOIDataByTileIDsMethodResultMiddle ,86,2,11,,,
dap_poifi_ , GetPOIDataByTileIDsMethodStart ,86,2,2,,,
dap_poifi_ , ImportPOIsMethodAbort ,86,131,5,,,
dap_poifi_ , ImportPOIsMethodResult ,86,131,7,,,
dap_poifi_ , ImportPOIsMethodStart ,86,131,2,,,
dap_poifi_ , ImportProgressGet ,86,129,1,,,
dap_poifi_ , ImportProgressRelUpReg ,86,129,4,,,
dap_poifi_ , ImportProgressStatus ,86,129,6,,,
dap_poifi_ , ImportProgressUpReg ,86,129,3,,,
dap_poifi_ , ImportUPOIsMethodAbort ,86,128,5,,,
dap_poifi_ , ImportUPOIsMethodResult ,86,128,7,,,
dap_poifi_ , ImportUPOIsMethodStart ,86,128,2,,,
dap_poifi_ , OpenFastMapChannelMethodResult ,38,257,7,,,
dap_poifi_ , OpenFastMapChannelMethodStart ,38,257,2,,,
dap_poifi_ , ReAssignCategoryMethodResult ,86,160,7,,,
dap_poifi_ , ReAssignCategoryMethodStart ,86,160,2,,,
dap_rawdatafi_ , dap_rd_directoryMethodResult ,7,3,7,,,
dap_rawdatafi_ , dap_rd_directoryMethodStart ,7,3,2,,,
dap_rawdatafi_ , dap_rd_filesizeMethodResult ,7,1,7,,,
dap_rawdatafi_ , dap_rd_filesizeMethodStart ,7,1,2,,,
dap_rawdatafi_ , dap_rd_freemediaspaceMethodResult ,7,5,7,,,
dap_rawdatafi_ , dap_rd_freemediaspaceMethodStart ,7,5,2,,,
dap_rawdatafi_ , dap_rd_mediaspaceMethodResult ,7,4,7,,,
dap_rawdatafi_ , dap_rd_mediaspaceMethodStart ,7,4,2,,,
dap_rawdatafi_ , dap_rd_readblockMethodResult ,7,2,7,,,
dap_rawdatafi_ , dap_rd_readblockMethodStart ,7,2,2,,,
dap_regionselectionfi_ , EngineeringTextGet ,30,32768,1,,,
dap_regionselectionfi_ , EngineeringTextRelUpReg ,30,32768,4,,,
dap_regionselectionfi_ , EngineeringTextStatus ,30,32768,6,,,
dap_regionselectionfi_ , EngineeringTextUpReg ,30,32768,3,,,
dap_regionselectionfi_ , GetFreeMemoryMethodResult ,60,2,7,,,
dap_regionselectionfi_ , GetFreeMemoryMethodStart ,60,2,2,,,
dap_regionselectionfi_ , GetLinkDeviceGet ,60,7,1,,,
dap_regionselectionfi_ , GetLinkDeviceStatus ,60,7,6,,,
dap_regionselectionfi_ , GetRegionListMethodResult ,60,1,7,,,
dap_regionselectionfi_ , GetRegionListMethodStart ,60,1,2,,,
dap_regionselectionfi_ , GetRegionOutlinesMethodResult ,60,8,7,,,
dap_regionselectionfi_ , GetRegionOutlinesMethodStart ,60,8,2,,,
dap_regionselectionfi_ , LastOrderListGet ,60,5,1,,,
dap_regionselectionfi_ , LastOrderListStatus ,60,5,6,,,
dap_regionselectionfi_ , ResumeStorageAbortResult ,60,4,9,,,
dap_regionselectionfi_ , ResumeStorageMethodAbort ,60,4,5,,,
dap_regionselectionfi_ , ResumeStorageMethodResult ,60,4,7,,,
dap_regionselectionfi_ , ResumeStorageMethodStart ,60,4,2,,,
dap_regionselectionfi_ , StorageProgressGet ,60,6,1,,,
dap_regionselectionfi_ , StorageProgressRelUpReg ,60,6,4,,,
dap_regionselectionfi_ , StorageProgressStatus ,60,6,6,,,
dap_regionselectionfi_ , StorageProgressUpReg ,60,6,3,,,
dap_regionselectionfi_ , StoreRegionsAbortResult ,60,3,9,,,
dap_regionselectionfi_ , StoreRegionsMethodAbort ,60,3,5,,,
dap_regionselectionfi_ , StoreRegionsMethodResult ,60,3,7,,,
dap_regionselectionfi_ , StoreRegionsMethodStart ,60,3,2,,,
dap_resinffi_ , dap_ri_CtrlDefaultDatasetSet ,6,8,0,,,
dap_resinffi_ , dap_ri_CtrlDefaultDatasetStatus ,6,8,6,,,
dap_resinffi_ , dap_ri_DefaultDataInfoRelUpReg ,6,9,4,,,
dap_resinffi_ , dap_ri_DefaultDataInfoStatus ,6,9,6,,,
dap_resinffi_ , dap_ri_DefaultDataInfoUpReg ,6,9,3,,,
dap_resinffi_ , dap_ri_DefaultDatasetGet ,6,7,1,,,
dap_resinffi_ , dap_ri_DefaultDatasetRelUpReg ,6,7,4,,,
dap_resinffi_ , dap_ri_DefaultDatasetSet ,6,7,0,,,
dap_resinffi_ , dap_ri_DefaultDatasetStatus ,6,7,6,,,
dap_resinffi_ , dap_ri_DefaultDatasetUpReg ,6,7,3,,,
dap_resinffi_ , dap_ri_DefaultDeviceSet ,6,10,0,,,
dap_resinffi_ , dap_ri_DefaultDeviceStatus ,6,10,6,,,
dap_resinffi_ , dap_ri_DefaultRegionMetaDataGet ,6,12,1,,,
dap_resinffi_ , dap_ri_DefaultRegionMetaDataRelUpReg ,6,12,4,,,
dap_resinffi_ , dap_ri_DefaultRegionMetaDataStatus ,6,12,6,,,
dap_resinffi_ , dap_ri_DefaultRegionMetaDataUpReg ,6,12,3,,,
dap_resinffi_ , dap_ri_EngineeringTextGet ,6,32768,1,,,
dap_resinffi_ , dap_ri_EngineeringTextRelUpReg ,6,32768,4,,,
dap_resinffi_ , dap_ri_EngineeringTextSet ,6,32768,0,,,
dap_resinffi_ , dap_ri_EngineeringTextStatus ,6,32768,6,,,
dap_resinffi_ , dap_ri_EngineeringTextUpReg ,6,32768,3,,,
